"ISIC Rev. 4 label","Code","Section (1-digit)","Division (2-digit)","Group (3-digit)","Inclusions","Exclusions"
"Manufacture of other fabricated metal products; metalworking service activities","259","C Manufacturing","25 Manufacture of fabricated metal products, except machinery and equipment",,"This group includes general activities for the treatment of metal, such as forging or pressing, plating, coating, engraving, boring, polishing, welding etc., which are typically carried out on a fee or contract basis. This group also includes the manufact",
"Forging, pressing, stamping and roll-forming of metal; powder metallurgy","2591","C Manufacturing","25 Manufacture of fabricated metal products, except machinery and equipment","259 Manufacture of other fabricated metal products; metalworking service activities","This class includes:
- forging, pressing, stamping and roll-forming of metal
- powder metallurgy: production of metal objects directly from metal powders by heat treatment (sintering) or under pressure","This class excludes:
- production of metal powder, see 2410, 2420"
"Treatment and coating of metals; machining","2592","C Manufacturing","25 Manufacture of fabricated metal products, except machinery and equipment","259 Manufacture of other fabricated metal products; metalworking service activities","This class includes:
- plating, anodizing etc. of metals
- heat treatment of metals
- deburring, sandblasting, tumbling, cleaning of metals
- colouring and engraving of metals
- non-metallic coating of metals:
* plasticizing, enamelling, lacquering etc.
-","This class excludes:
- activities of farriers, see 0162
- rolling precious metals onto base metals or other metals, see 2420"
"Manufacture of cutlery, hand tools and general hardware","2593","C Manufacturing","25 Manufacture of fabricated metal products, except machinery and equipment","259 Manufacture of other fabricated metal products; metalworking service activities","This class includes:
- manufacture of domestic cutlery such as knives, forks, spoons etc.
- manufacture of other articles of cutlery:
* cleavers and choppers
* razors and razor blades
* scissors and hair clippers
- manufacture of knives and cutting blades","This class excludes:
- manufacture of hollowware (pots, kettles etc.), dinnerware (bowls, platters etc.) or flatware (plates, saucers etc.), see 2599
- manufacture of power-driven hand tools, see 2818
- manufacture of ingot moulds, see 2823
- manufacture "
"Manufacture of other fabricated metal products n.e.c.","2599","C Manufacturing","25 Manufacture of fabricated metal products, except machinery and equipment","259 Manufacture of other fabricated metal products; metalworking service activities","This class includes:
- manufacture of pails, cans, drums, buckets, boxes
- manufacture of tins and cans for food products, collapsible tubes and boxes
- manufacture of metallic closures
- manufacture of metal cable, plaited bands and similar articles
- ma","This class excludes:
- manufacture of ceramic and ferrite magnets, see 2393
- manufacture of tanks and reservoirs, see 2512
- manufacture of swords, bayonets, see 2593
- manufacture of clock or watch springs, see 2652
- manufacture of wire and cable for e"
"Manufacture of computer, electronic and optical products","26","C Manufacturing",,,"This division includes the manufacture of computers, computer peripherals, communications equipment, and similar electronic products, as well as the manufacture of components for such products. Production processes of this division are characterized by th",
"Manufacture of electronic components and boards","261","C Manufacturing","26 Manufacture of computer, electronic and optical products",,"See class 2610.",
"Manufacture of electronic components and boards","2610","C Manufacturing","26 Manufacture of computer, electronic and optical products","261 Manufacture of electronic components and boards","This class includes the manufacture of semiconductors and other components for electronic applications. 

This class includes:
- manufacture of capacitors, electronic
- manufacture of resistors, electronic
- manufacture of microprocessors
- manufacture of","This class excludes:
- printing of smart cards, see 1811
- manufacture of modems (carrier equipment), see 2630
- manufacture of computer and television displays, see 2620, 2640
- manufacture of X-ray tubes and similar irradiation devices, see 2660
- manuf"
"Manufacture of computers and peripheral equipment","262","C Manufacturing","26 Manufacture of computer, electronic and optical products",,"See class 2620.",
"Manufacture of computers and peripheral equipment","2620","C Manufacturing","26 Manufacture of computer, electronic and optical products","262 Manufacture of computers and peripheral equipment","This class includes the manufacture and/or assembly of electronic computers, such as mainframes, desktop computers, laptops and computer servers; and computer peripheral equipment, such as storage devices and input/output devices (printers, monitors, keyb","This class excludes:
- reproduction of recorded media (computer media, sound, video, etc.), see 1820
- manufacture of electronic components and electronic assemblies used in computers and peripherals, see 2610
- manufacture of internal/external computer m"
"Manufacture of communication equipment","263","C Manufacturing","26 Manufacture of computer, electronic and optical products",,"See class 2630.",
"Manufacture of communication equipment","2630","C Manufacturing","26 Manufacture of computer, electronic and optical products","263 Manufacture of communication equipment","This class includes the manufacture of telephone and data communications equipment used to move signals electronically over wires or through the air such as radio and television broadcast and wireless communications equipment.

This class includes:
- manu","This class excludes:
- manufacture of computers and computer peripheral equipment, see 2620
- manufacture of consumer audio and video equipment, see 2640
- manufacture of electronic components and subassemblies used in communications equipment, see 2610
-"
"Manufacture of consumer electronics","264","C Manufacturing","26 Manufacture of computer, electronic and optical products",,"See class 2640.",
"Manufacture of consumer electronics","2640","C Manufacturing","26 Manufacture of computer, electronic and optical products","264 Manufacture of consumer electronics","This class includes the manufacture of electronic audio and video equipment for home entertainment, motor vehicle, public address systems and musical instrument amplification. 

This class includes:
- manufacture of video cassette recorders and duplicatin","This class excludes:
- reproduction of recorded media (computer media, sound, video, etc.), see 1820
- manufacture of computer peripheral devices and computer monitors, see 2620
- manufacture of telephone answering machines, see 2630
- manufacture of pagi"
"Manufacture of measuring, testing, navigating and control equipment; watches and clocks","265","C Manufacturing","26 Manufacture of computer, electronic and optical products",,"This group includes the manufacture of measuring, testing, navigating and control equipment for various industrial and non-industrial purposes, including time-based measuring devices such as watches and clocks and related devices.",
"Manufacture of measuring, testing, navigating and control equipment","2651","C Manufacturing","26 Manufacture of computer, electronic and optical products","265 Manufacture of measuring, testing, navigating and control equipment; watches and clocks","This class includes the manufacture of search, detection, navigation, guidance, aeronautical and nautical systems and instruments; automatic controls and regulators for applications, such as heating, air-conditioning, refrigeration and appliances; instrum","This class excludes:
- manufacture of telephone answering machines, see 2630
- manufacture of irradiation equipment, see 2660
- manufacture of optical measuring and checking devices and instruments (e.g. fire control equipment, photographic light meters, "
"Manufacture of watches and clocks","2652","C Manufacturing","26 Manufacture of computer, electronic and optical products","265 Manufacture of measuring, testing, navigating and control equipment; watches and clocks","This class includes the manufacture of watches, clocks and timing mechanisms and parts thereof.

This class includes:
- manufacture of watches and clocks of all kinds, including instrument panel clocks
- manufacture of watch and clock cases, including cas","This class excludes:
- manufacture of non-metal watch bands (textile, leather, plastic), see 1512
- manufacture of watch bands of precious metal, see 3211
- manufacture of watch bands of non-precious metal, see 3212"
"Manufacture of irradiation, electromedical and electrotherapeutic equipment","266","C Manufacturing","26 Manufacture of computer, electronic and optical products",,"See class 2660.",
"Manufacture of irradiation, electromedical and electrotherapeutic equipment","2660","C Manufacturing","26 Manufacture of computer, electronic and optical products","266 Manufacture of irradiation, electromedical and electrotherapeutic equipment","This class includes:
- manufacture of irradiation apparatus and tubes (e.g. industrial, medical diagnostic, medical therapeutic, research, scientific):
* beta-, gamma, X-ray or other radiation equipment
- manufacture of CT scanners
- manufacture of PET sc","This class excludes:
- manufacture of laboratory analytical instruments (e.g. blood analysis equipment), see 2651
- manufacture of tanning beds, see 2790"
"Manufacture of optical instruments and photographic equipment","267","C Manufacturing","26 Manufacture of computer, electronic and optical products",,"See class 2670.",
"Manufacture of optical instruments and photographic equipment","2670","C Manufacturing","26 Manufacture of computer, electronic and optical products","267 Manufacture of optical instruments and photographic equipment","This class includes the manufacture of optical instruments and lenses, such as binoculars, microscopes (except electron, proton), telescopes, prisms and lenses (except ophthalmic); the coating or polishing of lenses (except ophthalmic); the mounting of le","This class excludes:
- manufacture of computer projectors, see 2620
- manufacture of commercial TV and video cameras, see 2630
- manufacture of household-type video cameras, see 2640
- manufacture of electron and proton microscopes, see 2651
- manufacture"
"Manufacture of magnetic and optical media","268","C Manufacturing","26 Manufacture of computer, electronic and optical products",,"See class 2680.",
"Manufacture of magnetic and optical media","2680","C Manufacturing","26 Manufacture of computer, electronic and optical products","268 Manufacture of magnetic and optical media","This class includes the manufacture of magnetic and optical recording media.

This class includes:
- manufacture of blank magnetic audio and video tapes
- manufacture of blank magnetic audio and video cassettes
- manufacture of blank diskettes
- manufactu","This class excludes:
- reproduction of recorded media (computer media, sound, video, etc.), see 1820"
"Manufacture of electrical equipment","27","C Manufacturing",,,"This division includes the manufacture of products that generate, distribute and use electrical power. Also included is the manufacture of electrical lighting, signalling equipment and electric household appliances.

This division excludes the manufacture",
"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","271","C Manufacturing","27 Manufacture of electrical equipment",,"See class 2710.",
"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","2710","C Manufacturing","27 Manufacture of electrical equipment","271 Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","This class includes the manufacture of power, distribution and specialty transformers; electric motors, generators and motor generator sets; switchgear and switchboard apparatus; relays and industrial controls. The electrical equipment manufactured in thi","This class excludes:
- manufacture of electronic component-type transformers and switches, see 2610
- manufacture of environmental controls and industrial process control instruments, see 2651
- manufacture of switches for electrical circuits, such as pus"
"Manufacture of batteries and accumulators","272","C Manufacturing","27 Manufacture of electrical equipment",,"See class 2720.",
"Manufacture of batteries and accumulators","2720","C Manufacturing","27 Manufacture of electrical equipment","272 Manufacture of batteries and accumulators","This class includes the manufacture of non-rechargeable and rechargeable batteries.

This class includes:
- manufacture of primary cells and primary batteries 
* cells containing manganese dioxide, mercuric dioxide, silver oxide etc.
- manufacture of elec",
"Manufacture of wiring and wiring devices","273","C Manufacturing","27 Manufacture of electrical equipment",,"This group includes the manufacture of current-carrying wiring devices and non current-carrying wiring devices for wiring electrical circuits regardless of material. This group also includes the insulating of wire and the manufacture of fiber optic cables",
"Manufacture of fibre optic cables","2731","C Manufacturing","27 Manufacture of electrical equipment","273 Manufacture of wiring and wiring devices","This class includes:
- manufacture of fiber optic cable for data transmission or live transmission of images","This class excludes:
- manufacture of glass fibres or strand, see 2310
- manufacture of optical cable sets or assemblies with connectors or other attachments, see depending on application, e.g. 2610"
"Manufacture of other electronic and electric wires and cables","2732","C Manufacturing","27 Manufacture of electrical equipment","273 Manufacture of wiring and wiring devices","This class includes:
- manufacture of insulated wire and cable, made of steel, copper, aluminium","This class excludes:
- manufacture (drawing) of wire, see 2410, 2420
- manufacture of computer cables, printer cables, USB cables and similar cable sets or assemblies, see 2610
- manufacture of extension cords, see 2790
- manufacture of cable sets, wiring"
"Manufacture of wiring devices","2733","C Manufacturing","27 Manufacture of electrical equipment","273 Manufacture of wiring and wiring devices","This class includes the manufacture of current-carrying and non current-carrying wiring devices for electrical circuits regardless of material.

This class includes:
- manufacture of bus bars, electrical conductors (except switchgear-type) 
- manufacture ","This class excludes:
- manufacture of ceramic insulators, see 2393
- manufacture of electronic component-type connectors, sockets and switches, see 2610"
"Manufacture of electric lighting equipment","274","C Manufacturing","27 Manufacture of electrical equipment",,"See class 2740.",
"Manufacture of electric lighting equipment","2740","C Manufacturing","27 Manufacture of electrical equipment","274 Manufacture of electric lighting equipment","This class includes the manufacture of electric light bulbs and tubes and parts and components thereof (except glass blanks for electric light bulbs), electric lighting fixtures and lighting fixture components (except current-carrying wiring devices).

Th","This class excludes:
- manufacture of glassware and glass parts for lighting fixtures, see 2310
- manufacture of current-carrying wiring devices for lighting fixtures, see 2733
- manufacture of ceiling fans or bath fans with integrated lighting fixtures, "
"Manufacture of domestic appliances","275","C Manufacturing","27 Manufacture of electrical equipment",,"See class 2750.",
"Manufacture of domestic appliances","2750","C Manufacturing","27 Manufacture of electrical equipment","275 Manufacture of domestic appliances","This class includes the manufacture of small electric appliances and electric housewares, household-type fans, household-type vacuum cleaners, electric household-type floor care machines, household-type cooking appliances, household-type laundry equipment","This class excludes:
- manufacture of commercial and industrial refrigerators and freezers, room air-conditioners, attic fans, permanent mount space heaters and commercial ventilation and exhaust fans, commercial-type cooking equipment; commercial-type la"
"Manufacture of other electrical equipment","279","C Manufacturing","27 Manufacture of electrical equipment",,"See class 2790.",
"Manufacture of other electrical equipment","2790","C Manufacturing","27 Manufacture of electrical equipment","279 Manufacture of other electrical equipment","This class includes the manufacture of miscellaneous electrical equipment other than motors, generators and transformers, batteries and accumulators, wires and wiring devices, lighting equipment or domestic appliances.

This class includes:
- manufacture ","This class excludes:
- manufacture of non-electrical signs, see class according to material (plastic signs 2220, metal signs 2599)
- manufacture of porcelain electrical insulators, see 2393
- manufacture of carbon and graphite fibers and products (except "
"Manufacture of machinery and equipment n.e.c.","28","C Manufacturing",,,"This division includes the manufacture of machinery and equipment that act independently on materials either mechanically or thermally or perform operations on materials (such as handling, spraying, weighing or packing), including their mechanical compone",
"Manufacture of general-purpose machinery","281","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.",,"This group includes the manufacture of general-purpose machinery, i.e. machinery that is being used in a wide range of ISIC industries. This can include the manufacture of components used in the manufacture of a variety of other machinery or the manufactu",
"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines","2811","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","281 Manufacture of general-purpose machinery","This class includes:
- manufacture of internal combustion piston engines, except motor vehicle, aircraft and cycle propulsion engines:
* marine engines
* railway engines
- manufacture of pistons, piston rings, carburetors and such for all internal combust","This class excludes:
- manufacture of electric generators (except turbine generator sets), see 2710
- manufacture of prime mover generator sets (except turbine generator sets), see 2710
- manufacture of electrical equipment and components of internal comb"
"Manufacture of fluid power equipment","2812","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","281 Manufacture of general-purpose machinery","This class includes:
- manufacture of hydraulic and pneumatic components (including hydraulic pumps, hydraulic motors, hydraulic and pneumatic cylinders, hydraulic and pneumatic valves, hydraulic and pneumatic hose and fittings)
- manufacture of air prepa","This class excludes:
- manufacture of compressors, see 2813
- manufacture of pumps and valves for non-fluid power applications, see 2813
- manufacture of mechanical transmission equipment, see 2814"
"Manufacture of other pumps, compressors, taps and valves","2813","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","281 Manufacture of general-purpose machinery","This class includes:
- manufacture of air or vacuum pumps, air or other gas compressors
- manufacture of pumps for liquids whether or not fitted with a measuring device
- manufacture of pumps designed for fitting to internal combustion engines: oil, water","This class excludes:
- manufacture of valves of unhardened vulcanized rubber, glass or of ceramic materials, see 2219, 2310 or 2393
- manufacture of hydraulic transmission equipment, see 2812
- manufacture of inlet and exhaust valves of internal combustio"
"Manufacture of bearings, gears, gearing and driving elements","2814","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","281 Manufacture of general-purpose machinery","This class includes:
- manufacture of ball and roller bearings and parts thereof
- manufacture of mechanical power transmission equipment:
* transmission shafts and cranks: camshafts, crankshafts, cranks etc.
* bearing housings and plain shaft bearings
- ","This class excludes:
- manufacture of other chain, see 2599
- manufacture of (electromagnetic) clutches, see 2930
- manufacture of sub-assemblies of power transmission equipment identifiable as parts of vehicles or aircraft, see divisions 29 and 30"
"Manufacture of ovens, furnaces and furnace burners","2815","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","281 Manufacture of general-purpose machinery","This class includes:
- manufacture of electrical and other industrial and laboratory furnaces and ovens, including incinerators
- manufacture of burners
- manufacture of permanent mount electric space heaters, electric swimming pool heaters
- manufacture ","This class excludes:
- manufacture of household ovens, see 2750
- manufacture of agricultural dryers, see 2825
- manufacture of bakery ovens, see 2825
- manufacture of dryers for wood, paper pulp, paper or paperboard, see 2829
- manufacture of medical, su"
"Manufacture of lifting and handling equipment","2816","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","281 Manufacture of general-purpose machinery","This class includes:
- manufacture of hand-operated or power-driven lifting, handling, loading or unloading machinery:
* pulley tackle and hoists, winches, capstans and jacks
* derricks, cranes, mobile lifting frames, straddle carriers etc.
* works trucks","This class excludes:
- manufacture of continuous-action elevators and conveyors for underground use, see 2824
- manufacture of mechanical shovels, excavators and shovel loaders, see 2824
- manufacture of industrial robots for multiple uses, see 2829
- man"
"Manufacture of office machinery and equipment (except computers and peripheral equipment)","2817","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","281 Manufacture of general-purpose machinery","This class includes:
- manufacture of calculating machines
- manufacture of adding machines, cash registers
- manufacture of calculators, electronic or not
- manufacture of postage meters, mail handling machines (envelope stuffing, sealing and addressing ","This class excludes:
- manufacture of computers and peripheral equipment, see 2620"
"Manufacture of power-driven hand tools","2818","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","281 Manufacture of general-purpose machinery","This class includes:
- manufacture of hand tools, with self-contained electric or non-electric motor or pneumatic drive, such as:
* circular or reciprocating saws
* drills and hammer drills
* hand held power sanders
* pneumatic nailers
* buffers
* routers","This class excludes:
- manufacture of electrical hand-held soldering and welding equipment, see 2790"
"Manufacture of other general-purpose machinery","2819","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","281 Manufacture of general-purpose machinery","This class includes:
- manufacture of industrial refrigerating or freezing equipment, including assemblies of major components
- manufacture of air-conditioning machines, including for motor vehicles
- manufacture of non-domestic fans
- manufacture of wei","This class excludes:
- manufacture of sensitive (laboratory-type) balances, see 2651
- manufacture of domestic refrigerating or freezing equipment, see 2750
- manufacture of domestic fans, see 2750
- manufacture of electrical welding and soldering equipme"
"Manufacture of special-purpose machinery","282","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.",,"This group includes the manufacture of special-purpose machinery, i.e. machinery for exclusive use in an ISIC industry or a small cluster of ISIC industries. While most of these are used in other manufacturing processes, such as food manufacturing or text",
"Manufacture of agricultural and forestry machinery","2821","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","282 Manufacture of special-purpose machinery","This class includes:
- manufacture of tractors used in agriculture and forestry
- manufacture of walking (pedestrian-controlled) tractors
- manufacture of mowers, including lawnmowers
- manufacture of agricultural self-loading or self-unloading trailers o","This class excludes:
- manufacture of non-power-driven agricultural hand tools, see 2593
- manufacture of conveyors for farm use, see 2816
- manufacture of power-driven hand tools, see 2818
- manufacture of cream separators, see 2825
- manufacture of mach"
"Manufacture of metal-forming machinery and machine tools","2822","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","282 Manufacture of special-purpose machinery","This class includes:
- manufacture of machine tools for working metals and other materials (wood, bone, stone, hard rubber, hard plastics, cold glass etc.), including those using a laser beam, ultrasonic waves, plasma arc, magnetic pulse etc.
- manufactur","This class excludes:
- manufacture of interchangeable tools for hand tools or machine tools (drills, punches, dies, taps, milling cutters, turning tools, saw blades, cutting knives etc.), see 2593
- manufacture of electric hand held soldering irons and so"
"Manufacture of machinery for metallurgy","2823","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","282 Manufacture of special-purpose machinery","This class includes:
- manufacture of machines and equipment for handling hot metals:
* converters, ingot moulds, ladles, casting machines
- manufacture of metal-rolling mills and rolls for such mills","This class excludes:
- manufacture of draw-benches, see 2822
- manufacture of moulding boxes and moulds (except ingot moulds), see 2593
- manufacture of machines for forming foundry moulds, see 2829"
"Manufacture of machinery for mining, quarrying and construction","2824","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","282 Manufacture of special-purpose machinery","This class includes:
- manufacture of continuous-action elevators and conveyors for underground use
- manufacture of boring, cutting, sinking and tunnelling machinery (whether or not for underground use)
- manufacture of machinery for treating minerals by","This class excludes:
- manufacture of lifting and handling equipment, see 2816
- manufacture of other tractors, see 2821, 2910
- manufacture of machine tools for working stone, including machines for splitting or clearing stone, see 2822
- manufacture of "
"Manufacture of machinery for food, beverage and tobacco processing","2825","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","282 Manufacture of special-purpose machinery","This class includes:
- manufacture of agricultural dryers
- manufacture of machinery for the dairy industry:
* cream separators
* milk processing machinery (e.g. homogenizers)
* milk converting machinery (e.g. butter chums, butter workers and moulding mac","This class excludes:
- manufacture of food and milk irradiation equipment, see 2660
- manufacture of packing, wrapping and weighing machinery, see 2819
- manufacture of cleaning, sorting or grading machinery for eggs, fruit or other crops (except seeds, g"
"Manufacture of machinery for textile, apparel and leather production","2826","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","282 Manufacture of special-purpose machinery","This class includes:
- manufacture of textile machinery:
* machines for preparing, producing, extruding, drawing, texturing or cutting man-made textile fibres, materials or yarns
* machines for preparing textile fibres: cotton gins, bale breakers, garnett","This class excludes:
- manufacture of paper or paperboard cards for use on jacquard machines, see 1709
- manufacture of domestic washing and drying machines, see 2750
- manufacture of calendering machines, see 2819
- manufacture of machines used in bookbi"
"Manufacture of other special-purpose machinery","2829","C Manufacturing","28 Manufacture of machinery and equipment n.e.c.","282 Manufacture of special-purpose machinery","This class includes the manufacture of special-purpose machinery not elsewhere classified.

This class includes:
- manufacture of machinery for making paper pulp
- manufacture of paper and paperboard making machinery
- manufacture of dryers for wood, pape","This class excludes:
- manufacture of household appliances, see 2750
- manufacture of photocopy machines etc., see 2817
- manufacture of machinery or equipment to work hard rubber, hard plastics or cold glass, see 2822
- manufacture of ingot moulds, see 2"
"Manufacture of motor vehicles, trailers and semi-trailers","29","C Manufacturing",,,"This division includes the manufacture of motor vehicles for transporting passengers or freight. The manufacture of various parts and accessories, as well as the manufacture of trailers and semi-trailers, is included here.
The maintenance and repair of ve",
"Manufacture of motor vehicles","291","C Manufacturing","29 Manufacture of motor vehicles, trailers and semi-trailers",,"See class 2910.",
"Manufacture of motor vehicles","2910","C Manufacturing","29 Manufacture of motor vehicles, trailers and semi-trailers","291 Manufacture of motor vehicles","This class includes:
- manufacture of passenger cars
- manufacture of commercial vehicles:
* vans, lorries, over-the-road tractors for semi-trailers etc.
- manufacture of buses, trolley-buses and coaches
- manufacture of motor vehicle engines
- manufactur","This class excludes:
- manufacture of lighting equipment for motor vehicles, see 2740
- manufacture of pistons, piston rings and carburetors, see 2811
- manufacture of agricultural tractors, see 2821
- manufacture of tractors used in construction or minin"
"Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","292","C Manufacturing","29 Manufacture of motor vehicles, trailers and semi-trailers",,"See class 2920.",
"Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","2920","C Manufacturing","29 Manufacture of motor vehicles, trailers and semi-trailers","292 Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers","This class includes:
- manufacture of bodies, including cabs for motor vehicles
- outfitting of all types of motor vehicles, trailers and semi-trailers
- manufacture of trailers and semi-trailers:
* for transport of goods: tankers, removal trailers etc.
*","This class excludes:
- manufacture of trailers and semi-trailers specially designed for use in agriculture, see 2821
- manufacture of parts and accessories of bodies for motor vehicles, see 2930
- manufacture of vehicles drawn by animals, see 3099"
"Manufacture of parts and accessories for motor vehicles","293","C Manufacturing","29 Manufacture of motor vehicles, trailers and semi-trailers",,"See class 2930.",
"Manufacture of parts and accessories for motor vehicles","2930","C Manufacturing","29 Manufacture of motor vehicles, trailers and semi-trailers","293 Manufacture of parts and accessories for motor vehicles","This class includes:
- manufacture of diverse parts and accessories for motor vehicles:
* brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalytic converters, clutches, steering wheels, steering col","This class excludes:
- manufacture of tyres, see 2211
- manufacture of rubber hoses and belts and other rubber products, see 2219
- manufacture of plastic hoses and belts and other plastic products, see 2220
- manufacture of batteries for vehicles, see 27"
"Manufacture of other transport equipment","30","C Manufacturing",,,"This division includes the manufacture of transportation equipment such as ship building and boat manufacturing, the manufacture of railroad rolling stock and locomotives, air and spacecraft and the manufacture of parts thereof.",
"Building of ships and boats","301","C Manufacturing","30 Manufacture of other transport equipment",,"This group includes the building of ships, boats and other floating structures for transportation and other commercial purposes, as well as for sports and recreational purposes.",
"Building of ships and floating structures","3011","C Manufacturing","30 Manufacture of other transport equipment","301 Building of ships and boats","This class includes the building of ships, except vessels for sports or recreation, and the construction of floating structures.

This class includes:
- building of commercial vessels:
* passenger vessels, ferry boats, cargo ships, tankers, tugs etc.
- bu","This class excludes:
- manufacture of parts of vessels, other than major hull assemblies:
* manufacture of sails, see 1392
* manufacture of ships' propellers, see 2599
* manufacture of iron or steel anchors, see 2599
* manufacture of marine engines, see 2"
"Building of pleasure and sporting boats","3012","C Manufacturing","30 Manufacture of other transport equipment","301 Building of ships and boats","This class includes:
- manufacture of inflatable boats and rafts
- building of sailboats with or without auxiliary motor
- building of motor boats
- building of recreation-type hovercraft
- manufacture of personal watercraft
- manufacture of other pleasur","This class excludes:
- manufacture of parts of pleasure and sporting boats:
* manufacture of sails, see 1392
* manufacture of iron or steel anchors, see 2599
* manufacture of marine engines, see 2811
- manufacture of sailboards and surfboards, see 3230
- "
"Manufacture of railway locomotives and rolling stock","302","C Manufacturing","30 Manufacture of other transport equipment",,"See class 3020.",
"Manufacture of railway locomotives and rolling stock","3020","C Manufacturing","30 Manufacture of other transport equipment","302 Manufacture of railway locomotives and rolling stock","This class includes:
- manufacture of electric, diesel, steam and other rail locomotives
- manufacture of self-propelled railway or tramway coaches, vans and trucks, maintenance or service vehicles
- manufacture of railway or tramway rolling stock, not se","This class excludes:
- manufacture of unassembled rails, see 2410
- manufacture of assembled railway track fixtures, see 2599
- manufacture of electric motors, see 2710
- manufacture of electrical signalling, safety or traffic-control equipment, see 2790
"
"Manufacture of air and spacecraft and related machinery","303","C Manufacturing","30 Manufacture of other transport equipment",,"See class 3030.",
"Manufacture of air and spacecraft and related machinery","3030","C Manufacturing","30 Manufacture of other transport equipment","303 Manufacture of air and spacecraft and related machinery","This class includes:
- manufacture of airplanes for the transport of goods or passengers, for use by the defence forces, for sport or other purposes
- manufacture of helicopters
- manufacture of gliders, hang-gliders
- manufacture of dirigibles and hot ai","This class excludes:
- manufacture of parachutes, see 1392
- manufacture of military ordinance and ammunition, see 2520
- manufacture of telecommunication equipment for satellites, see 2630
- manufacture of aircraft instrumentation and aeronautical instru"
"Manufacture of military fighting vehicles","304","C Manufacturing","30 Manufacture of other transport equipment",,"See class 3040.",
"Manufacture of military fighting vehicles","3040","C Manufacturing","30 Manufacture of other transport equipment","304 Manufacture of military fighting vehicles","This class includes:
- manufacture of tanks
- manufacture of armored amphibious military vehicles
- manufacture of other military fighting vehicles","This class excludes:
- manufacture of weapons and ammunitions, see 2520"
"Manufacture of transport equipment n.e.c.","309","C Manufacturing","30 Manufacture of other transport equipment",,"This group includes the manufacture of transport equipment other than motor vehicles and rail, water, air or space transport equipment and military vehicles.",
"Manufacture of motorcycles","3091","C Manufacturing","30 Manufacture of other transport equipment","309 Manufacture of transport equipment n.e.c.","This class includes:
- manufacture of motorcycles, mopeds and cycles fitted with an auxiliary engine
- manufacture of engines for motorcycles
- manufacture of sidecars
- manufacture of parts and accessories for motorcycles","This class excludes:
- manufacture of bicycles, see 3092
- manufacture of invalid carriages, see 3092"
"Manufacture of bicycles and invalid carriages","3092","C Manufacturing","30 Manufacture of other transport equipment","309 Manufacture of transport equipment n.e.c.","This class includes:
- manufacture of non-motorized bicycles and other cycles, including (delivery) tricycles, tandems, children's bicycles and tricycles
- manufacture of parts and accessories of bicycles
- manufacture of invalid carriages with or without","This class excludes:
- manufacture of bicycles with auxiliary motor, see 3091
- manufacture of wheeled toys designed to be ridden, including plastic bicycles and tricycles, see 3240"
"Manufacture of other transport equipment n.e.c.","3099","C Manufacturing","30 Manufacture of other transport equipment","309 Manufacture of transport equipment n.e.c.","This class includes:
- manufacture of hand-propelled vehicles: luggage trucks, handcarts, sledges, shopping carts etc.
- manufacture of vehicles drawn by animals: sulkies, donkey-carts, hearses etc.","This class excludes:
- works trucks, whether or not fitted with lifting or handling equipment, whether or not self-propelled, of the type used in factories (including hand trucks and wheelbarrows), see 2816
- decorative restaurant carts, such as a desert "
"Manufacture of furniture","31","C Manufacturing",,,"This division includes the manufacture of furniture and related products of any material except stone, concrete and ceramic. The processes used in the manufacture of furniture are standard methods of forming materials and assembling components, including ",
"Manufacture of furniture","310","C Manufacturing","31 Manufacture of furniture",,"See class 3100.",
"Manufacture of furniture","3100","C Manufacturing","31 Manufacture of furniture","310 Manufacture of furniture","This class includes the manufacture of furniture of any kind, any material (except stone, concrete or ceramic) for any place and various purposes.

This class includes:
- manufacture of chairs and seats for offices, workrooms, hotels, restaurants, public ","This class excludes:
- manufacture of pillows, pouffes, cushions, quilts and eiderdowns, see 1392
- manufacture of inflatable rubber mattresses, see 2219
- manufacture of furniture of ceramics, concrete and stone, see 2393, 2395, 2396
- manufacture of lig"
