product_hs92_code_4d,product_hs92_name_4d,product_hs92_code_2d,product_hs92_name_2d,product_hs92_code_1d,product_hs92_name_1d
1522,Degras and wax residues,15,"Animal or vegetable fats, oils or waxes",1,Agriculture
1601,Sausages,16,Preparations of meat or fish,1,Agriculture
1602,Other prepared or preserved meat,16,Preparations of meat or fish,1,Agriculture
1603,Extracts and juices of meat or fish,16,Preparations of meat or fish,1,Agriculture
1604,Prepared or preserved fish,16,Preparations of meat or fish,1,Agriculture
1605,Prepared aquatic invertibrates,16,Preparations of meat or fish,1,Agriculture
1701,Sugarcane & sucrose,17,Sugar and candy,1,Agriculture
1702,Other sugars,17,Sugar and candy,1,Agriculture
1703,Molasses,17,Sugar and candy,1,Agriculture
1704,Confectionery sugar,17,Sugar and candy,1,Agriculture
1801,Cocoa beans,18,Cocoa,1,Agriculture
1802,Cocoa residues,18,Cocoa,1,Agriculture
1803,Cocoa paste,18,Cocoa,1,Agriculture
1804,Cocoa butter,18,Cocoa,1,Agriculture
1805,Cocoa powder,18,Cocoa,1,Agriculture
1806,Chocolates,18,Cocoa,1,Agriculture
1901,Malt extract,19,"Preparations of cereals, flour, starch or milk",1,Agriculture
1902,Pasta,19,"Preparations of cereals, flour, starch or milk",1,Agriculture
1903,Tapioca,19,"Preparations of cereals, flour, starch or milk",1,Agriculture
1904,Cereal foods,19,"Preparations of cereals, flour, starch or milk",1,Agriculture
1905,Bakery products,19,"Preparations of cereals, flour, starch or milk",1,Agriculture
2001,Pickled fruits and vegetables,20,"Preparations of vegetables, fruit, or nuts",1,Agriculture
2002,"Tomatoes, prepared or preserved",20,"Preparations of vegetables, fruit, or nuts",1,Agriculture
2003,"Mushrooms, prepared or preserved",20,"Preparations of vegetables, fruit, or nuts",1,Agriculture
2004,"Other vegetables, frozen",20,"Preparations of vegetables, fruit, or nuts",1,Agriculture
2005,"Other vegetables, prepared or preserved",20,"Preparations of vegetables, fruit, or nuts",1,Agriculture
2006,"Vegetables, fruits and nuts, preserved by sugar",20,"Preparations of vegetables, fruit, or nuts",1,Agriculture
2007,"Jams, jellies and marmalades",20,"Preparations of vegetables, fruit, or nuts",1,Agriculture
2008,"Fruits and nuts, otherwise prepared",20,"Preparations of vegetables, fruit, or nuts",1,Agriculture
2009,Fruit juices,20,"Preparations of vegetables, fruit, or nuts",1,Agriculture
2101,Coffee extracts,21,Miscellaneous edible preparations,1,Agriculture
2102,Yeasts,21,Miscellaneous edible preparations,1,Agriculture
2103,Sauces and seasonings,21,Miscellaneous edible preparations,1,Agriculture
2104,Soups and broths,21,Miscellaneous edible preparations,1,Agriculture
2105,Ice cream,21,Miscellaneous edible preparations,1,Agriculture
2106,Food preparations n.e.c.,21,Miscellaneous edible preparations,1,Agriculture
2201,Waters,22,Beverages,1,Agriculture
2202,"Waters, flavored or sweetened",22,Beverages,1,Agriculture
2203,Beer,22,Beverages,1,Agriculture
2204,Wine,22,Beverages,1,Agriculture
2205,"Wine, flavored",22,Beverages,1,Agriculture
2206,Other fermented beverages,22,Beverages,1,Agriculture
2207,Ethyl alcohol > 80%,22,Beverages,1,Agriculture
2208,Spirits < 80% alcohol,22,Beverages,1,Agriculture
2209,Vinegars,22,Beverages,1,Agriculture
2301,"Flours of fish, for animal feed",23,Food residues and animal feed,1,Agriculture
2302,Cereal residues,23,Food residues and animal feed,1,Agriculture
2303,Starch residues,23,Food residues and animal feed,1,Agriculture
2304,Solid soybean residues,23,Food residues and animal feed,1,Agriculture
2305,Solid peanut residues,23,Food residues and animal feed,1,Agriculture
2306,Solid vegetable oil and fat residues,23,Food residues and animal feed,1,Agriculture
2307,Wine lees,23,Food residues and animal feed,1,Agriculture
2308,Vegetable materials for animal feeding,23,Food residues and animal feed,1,Agriculture
2309,Animal feed,23,Food residues and animal feed,1,Agriculture
2401,Unmanufactured tobacco,24,Tobacco,1,Agriculture
2402,Cigars and cigarettes,24,Tobacco,1,Agriculture
2403,Other manufactured tobacco,24,Tobacco,1,Agriculture
2501,Salt,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2502,Unroasted iron pyrites,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2503,"Sulphur, crude",25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2504,Natural graphite,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2505,Natural sands,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2506,Quartz,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2507,Kaolin,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2508,Clays,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2509,Chalk,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2510,Natural calcium phosphates,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2511,Natural barium sulfate,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2512,Siliceous fossil meals and earths,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2513,Natural abrasives,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2514,Slate,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2515,Marble,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2516,Granite,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2517,Gravel,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2518,Dolomite,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2519,Natural magnesia,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2520,Gypsum,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2521,Limstone,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2522,Quicklime,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2523,Cements,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2524,Asbestos,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2525,Mica,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2526,Natural steatite,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2527,Natural cryolite,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2528,Natural borates,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2529,Feldspar,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2530,Mineral substances n.e.c.,25,"Salt, sulphur, lime, cement, etc.",3,Minerals
2601,Iron ores and concentrates,26,"Ores, slag and ash",3,Minerals
