ciiu,ciiu_descripcion,ciiu_clases_comparten,clases_comparten,razon_empleo_total
1629,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables (fabricación de juntas de corcho y marcos de madera)",1701,339940,0.05358820425903158
1629,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables (fabricación de juntas de corcho y marcos de madera)",1709,"339940,339999",0.05358820425903158
1629,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables (fabricación de juntas de corcho y marcos de madera)",2022,339940,0.05358820425903158
1629,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables (fabricación de juntas de corcho y marcos de madera)",2817,339940,0.05358820425903158
1629,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables (fabricación de juntas de corcho y marcos de madera)",2593,337920,0.001973917482938408
1629,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables (fabricación de juntas de corcho y marcos de madera)",2819,"339940,339999",0.05358820425903158
1629,"Fabricación de otros productos de madera; fabricación de artículos de corcho, paja y materiales trenzables (fabricación de juntas de corcho y marcos de madera)",3290,"339940,339999",0.05358820425903158
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),1629,"339940,339999",0.05358820425903158
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),1391,313240,0.16071587407381233
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),1392,"313240,336360",0.16071587407381233
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),2220,"322220,336360,339999",0.08675489184272508
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),1420,315999,0.09294470715959367
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),1701,"339940,322220",0.05358820425903158
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),1702,322220,0.08675489184272508
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),1709,"339940,322220,339999",0.05358820425903158
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),2420,322220,0.08675489184272508
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),2599,"322220,339999",0.08675489184272508
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),2022,339940,0.05358820425903158
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),2817,339940,0.05358820425903158
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),2819,"339940,339999",0.05358820425903158
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),3011,336360,0.04742275829380421
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),3020,336360,0.04742275829380421
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),3030,336360,0.04742275829380421
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),3290,"339940,339999",0.05358820425903158
1399,Fabricación de otros productos textiles n.c.p. (fabricación de juntas textiles),2930,336360,0.04742275829380421
1391,Fabricación de tejidos de punto y ganchillo ,1399,313240,0.16071587407381233
1391,Fabricación de tejidos de punto y ganchillo ,1392,313240,0.16071587407381233
1392,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir (fabricación de persianas de materiales textiles)",1629,337920,0.001973917482938408
1392,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir (fabricación de persianas de materiales textiles)",1399,"313240,336360",0.16071587407381233
1392,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir (fabricación de persianas de materiales textiles)",1391,313240,0.16071587407381233
1392,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir (fabricación de persianas de materiales textiles)",2220,"337920,314120,336360",0.001973917482938408
1392,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir (fabricación de persianas de materiales textiles)",2599,337920,0.001973917482938408
1392,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir (fabricación de persianas de materiales textiles)",2593,337920,0.001973917482938408
1392,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir (fabricación de persianas de materiales textiles)",3011,336360,0.04742275829380421
1392,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir (fabricación de persianas de materiales textiles)",3020,336360,0.04742275829380421
1392,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir (fabricación de persianas de materiales textiles)",3030,336360,0.04742275829380421
1392,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir (fabricación de persianas de materiales textiles)",2930,336360,0.04742275829380421
1313,Acabado de productos textiles (impresión sobre productos textiles),1709,323119,1.0038467021565658
1313,Acabado de productos textiles (impresión sobre productos textiles),1811,323119,1.0038467021565658
1313,Acabado de productos textiles (impresión sobre productos textiles),8219,323119,1.0038467021565658
2219,Fabricación de otros productos de caucho (fabricación de juntas de hule),2220,"337910,339999,326220",0.026733178750412756
2219,Fabricación de otros productos de caucho (fabricación de juntas de hule),3100,337910,0.026733178750412756
2219,Fabricación de otros productos de caucho (fabricación de juntas de hule),2829,339920,0.0031680157133579384
2219,Fabricación de otros productos de caucho (fabricación de juntas de hule),3230,339920,0.0031680157133579384
2219,Fabricación de otros productos de caucho (fabricación de juntas de hule),3240,"339920,339999",0.0031680157133579384
2220,Fabricación de productos de plástico (fabricación de juntas de plástico),1399,"322220,336360,339999",0.08675489184272508
2220,Fabricación de productos de plástico (fabricación de juntas de plástico),1392,"337920,314120,336360",0.001973917482938408
2220,Fabricación de productos de plástico (fabricación de juntas de plástico),2219,"337910,339999,326220",0.026733178750412756
2220,Fabricación de productos de plástico (fabricación de juntas de plástico),1701,322220,0.08675489184272508
