ciiu,tag,year,import_weighted_value,share_on_total_imports,variable,division,seccion,ciiu_nombre,pci,cog,distance,rca
1920,paises_interes,2021,29784874.351190466,0.009353679583845424,1920,Coque Y Productos De La Refinación Del Petróleo,Industrias manufactureras, Productos De La Refinación Del Petróleo ,4.217121545429369,0.0,0.9678998373674216,11.36950710601773
1920,paises_interes,2022,77186557.54166666,0.016933388440564395,1920,Coque Y Productos De La Refinación Del Petróleo,Industrias manufactureras, Productos De La Refinación Del Petróleo ,4.217121545429369,0.0,0.9678998373674216,11.36950710601773
1920,paises_interes,2023,62274165.30357141,0.017239914929034466,1920,Coque Y Productos De La Refinación Del Petróleo,Industrias manufactureras, Productos De La Refinación Del Petróleo ,4.217121545429369,0.0,0.9678998373674216,11.36950710601773
1920,rest_of_world,2020,1868136301.2083328,0.9890545177744211,1920,Coque Y Productos De La Refinación Del Petróleo,Industrias manufactureras, Productos De La Refinación Del Petróleo ,4.217121545429369,0.0,0.9678998373674216,11.36950710601773
1920,rest_of_world,2021,3154510042.339285,0.9906463204161545,1920,Coque Y Productos De La Refinación Del Petróleo,Industrias manufactureras, Productos De La Refinación Del Petróleo ,4.217121545429369,0.0,0.9678998373674216,11.36950710601773
1920,rest_of_world,2022,4481059880.410713,0.9830666115594355,1920,Coque Y Productos De La Refinación Del Petróleo,Industrias manufactureras, Productos De La Refinación Del Petróleo ,4.217121545429369,0.0,0.9678998373674216,11.36950710601773
1920,rest_of_world,2023,3549934222.0297604,0.9827600850709656,1920,Coque Y Productos De La Refinación Del Petróleo,Industrias manufactureras, Productos De La Refinación Del Petróleo ,4.217121545429369,0.0,0.9678998373674216,11.36950710601773
2011,paises_interes,2020,38505985.89420809,0.06616819606908758,2011,Sustancias Y Productos Químicos,Industrias manufactureras, Sustancias Químicas Básicas ,2.922684312989824,0.0,0.9095057430693984,2.6479386359728547
2011,paises_interes,2021,53995707.95271876,0.09975000822174077,2011,Sustancias Y Productos Químicos,Industrias manufactureras, Sustancias Químicas Básicas ,2.922684312989824,0.0,0.9095057430693984,2.6479386359728547
2011,paises_interes,2022,66527517.45981097,0.11177999903457089,2011,Sustancias Y Productos Químicos,Industrias manufactureras, Sustancias Químicas Básicas ,2.922684312989824,0.0,0.9095057430693984,2.6479386359728547
2011,paises_interes,2023,42408381.85224592,0.07735988383978418,2011,Sustancias Y Productos Químicos,Industrias manufactureras, Sustancias Químicas Básicas ,2.922684312989824,0.0,0.9095057430693984,2.6479386359728547
2011,rest_of_world,2020,543435009.6560286,0.9338318039309125,2011,Sustancias Y Productos Químicos,Industrias manufactureras, Sustancias Químicas Básicas ,2.922684312989824,0.0,0.9095057430693984,2.6479386359728547
2011,rest_of_world,2021,487314602.846336,0.9002499917782593,2011,Sustancias Y Productos Químicos,Industrias manufactureras, Sustancias Químicas Básicas ,2.922684312989824,0.0,0.9095057430693984,2.6479386359728547
2011,rest_of_world,2022,528637252.9320334,0.8882200009654291,2011,Sustancias Y Productos Químicos,Industrias manufactureras, Sustancias Químicas Básicas ,2.922684312989824,0.0,0.9095057430693984,2.6479386359728547
2011,rest_of_world,2023,505787656.55023676,0.9226401161602159,2011,Sustancias Y Productos Químicos,Industrias manufactureras, Sustancias Químicas Básicas ,2.922684312989824,0.0,0.9095057430693984,2.6479386359728547
2012,paises_interes,2020,9577324.082206793,0.022991310173772095,2012,Sustancias Y Productos Químicos,Industrias manufactureras, Abonos Y Compuestos De Nitrógeno ,1.8779319757974,0.8601357660990742,0.9788636031522564,0.7196574899563136
2012,paises_interes,2021,11231822.437340152,0.01560605470189179,2012,Sustancias Y Productos Químicos,Industrias manufactureras, Abonos Y Compuestos De Nitrógeno ,1.8779319757974,0.8601357660990742,0.9788636031522564,0.7196574899563136
2012,paises_interes,2022,14550113.285714282,0.014845068012809423,2012,Sustancias Y Productos Químicos,Industrias manufactureras, Abonos Y Compuestos De Nitrógeno ,1.8779319757974,0.8601357660990742,0.9788636031522564,0.7196574899563136
2012,paises_interes,2023,11862015.646693457,0.01655229996718736,2012,Sustancias Y Productos Químicos,Industrias manufactureras, Abonos Y Compuestos De Nitrógeno ,1.8779319757974,0.8601357660990742,0.9788636031522564,0.7196574899563136
2012,rest_of_world,2020,406985455.9342345,0.9770086898262279,2012,Sustancias Y Productos Químicos,Industrias manufactureras, Abonos Y Compuestos De Nitrógeno ,1.8779319757974,0.8601357660990742,0.9788636031522564,0.7196574899563136
2012,rest_of_world,2021,708477460.3949578,0.9843939452981082,2012,Sustancias Y Productos Químicos,Industrias manufactureras, Abonos Y Compuestos De Nitrógeno ,1.8779319757974,0.8601357660990742,0.9788636031522564,0.7196574899563136
2012,rest_of_world,2022,965581016.6733649,0.9851549319871906,2012,Sustancias Y Productos Químicos,Industrias manufactureras, Abonos Y Compuestos De Nitrógeno ,1.8779319757974,0.8601357660990742,0.9788636031522564,0.7196574899563136
2012,rest_of_world,2023,704776498.0467665,0.9834477000328127,2012,Sustancias Y Productos Químicos,Industrias manufactureras, Abonos Y Compuestos De Nitrógeno ,1.8779319757974,0.8601357660990742,0.9788636031522564,0.7196574899563136
2013,paises_interes,2020,26880265.941666692,0.0654838660897037,2013,Sustancias Y Productos Químicos,Industrias manufactureras, Plásticos Y Caucho Sintético En Formas Primarias ,2.688070043135667,0.0,0.8902533361414529,2.0903196950289886
2013,paises_interes,2021,51876320.29551286,0.08038460900855379,2013,Sustancias Y Productos Químicos,Industrias manufactureras, Plásticos Y Caucho Sintético En Formas Primarias ,2.688070043135667,0.0,0.8902533361414529,2.0903196950289886
2013,paises_interes,2022,69022253.71666673,0.10098509124772397,2013,Sustancias Y Productos Químicos,Industrias manufactureras, Plásticos Y Caucho Sintético En Formas Primarias ,2.688070043135667,0.0,0.8902533361414529,2.0903196950289886
2013,paises_interes,2023,41725578.16217952,0.07906100755044432,2013,Sustancias Y Productos Químicos,Industrias manufactureras, Plásticos Y Caucho Sintético En Formas Primarias ,2.688070043135667,0.0,0.8902533361414529,2.0903196950289886
2013,rest_of_world,2020,383606584.4352567,0.9345161339102962,2013,Sustancias Y Productos Químicos,Industrias manufactureras, Plásticos Y Caucho Sintético En Formas Primarias ,2.688070043135667,0.0,0.8902533361414529,2.0903196950289886
2013,rest_of_world,2021,593475083.8519236,0.9196153909914462,2013,Sustancias Y Productos Químicos,Industrias manufactureras, Plásticos Y Caucho Sintético En Formas Primarias ,2.688070043135667,0.0,0.8902533361414529,2.0903196950289886
2013,rest_of_world,2022,614467287.7974365,0.8990149087522761,2013,Sustancias Y Productos Químicos,Industrias manufactureras, Plásticos Y Caucho Sintético En Formas Primarias ,2.688070043135667,0.0,0.8902533361414529,2.0903196950289886
2013,rest_of_world,2023,486038732.6525645,0.9209389924495557,2013,Sustancias Y Productos Químicos,Industrias manufactureras, Plásticos Y Caucho Sintético En Formas Primarias ,2.688070043135667,0.0,0.8902533361414529,2.0903196950289886
2022,paises_interes,2020,5635553.333333329,0.0211503558349341,2022,Sustancias Y Productos Químicos,Industrias manufactureras," Pinturas, Barnices Y Productos De Revestimiento Similares, Tintas De Imprenta Y Masillas ",3.373681674860177,0.0,0.9178003587367314,1.0308360060390624
2022,paises_interes,2021,4541618.58333333,0.013887650638125549,2022,Sustancias Y Productos Químicos,Industrias manufactureras," Pinturas, Barnices Y Productos De Revestimiento Similares, Tintas De Imprenta Y Masillas ",3.373681674860177,0.0,0.9178003587367314,1.0308360060390624
2022,paises_interes,2022,4540464.249999996,0.012590581630336153,2022,Sustancias Y Productos Químicos,Industrias manufactureras," Pinturas, Barnices Y Productos De Revestimiento Similares, Tintas De Imprenta Y Masillas ",3.373681674860177,0.0,0.9178003587367314,1.0308360060390624
2022,paises_interes,2023,4963143.833333329,0.01489224577703796,2022,Sustancias Y Productos Químicos,Industrias manufactureras," Pinturas, Barnices Y Productos De Revestimiento Similares, Tintas De Imprenta Y Masillas ",3.373681674860177,0.0,0.9178003587367314,1.0308360060390624
2022,rest_of_world,2020,260816386.16666648,0.9788496441650658,2022,Sustancias Y Productos Químicos,Industrias manufactureras," Pinturas, Barnices Y Productos De Revestimiento Similares, Tintas De Imprenta Y Masillas ",3.373681674860177,0.0,0.9178003587367314,1.0308360060390624
2022,rest_of_world,2021,322484075.08333313,0.9861123493618745,2022,Sustancias Y Productos Químicos,Industrias manufactureras," Pinturas, Barnices Y Productos De Revestimiento Similares, Tintas De Imprenta Y Masillas ",3.373681674860177,0.0,0.9178003587367314,1.0308360060390624
2022,rest_of_world,2022,356083403.9166664,0.9874094183696638,2022,Sustancias Y Productos Químicos,Industrias manufactureras," Pinturas, Barnices Y Productos De Revestimiento Similares, Tintas De Imprenta Y Masillas ",3.373681674860177,0.0,0.9178003587367314,1.0308360060390624
2022,rest_of_world,2023,328307197.49999976,0.985107754222962,2022,Sustancias Y Productos Químicos,Industrias manufactureras," Pinturas, Barnices Y Productos De Revestimiento Similares, Tintas De Imprenta Y Masillas ",3.373681674860177,0.0,0.9178003587367314,1.0308360060390624
2023,paises_interes,2020,339091581.1963762,0.27252901613548364,2023,Sustancias Y Productos Químicos,Industrias manufactureras," Jabones Y Detergentes, Preparados Para Limpiar Y Pulir, Perfumes Y Preparados De Tocador ",3.0527748703223567,0.0,0.940472679974922,1.6311742751534084
2023,paises_interes,2021,333230825.5926924,0.25445148451344246,2023,Sustancias Y Productos Químicos,Industrias manufactureras," Jabones Y Detergentes, Preparados Para Limpiar Y Pulir, Perfumes Y Preparados De Tocador ",3.0527748703223567,0.0,0.940472679974922,1.6311742751534084
2023,paises_interes,2022,348959448.5445641,0.24639218806324603,2023,Sustancias Y Productos Químicos,Industrias manufactureras," Jabones Y Detergentes, Preparados Para Limpiar Y Pulir, Perfumes Y Preparados De Tocador ",3.0527748703223567,0.0,0.940472679974922,1.6311742751534084
2023,paises_interes,2023,293113789.8226388,0.20045045744735926,2023,Sustancias Y Productos Químicos,Industrias manufactureras," Jabones Y Detergentes, Preparados Para Limpiar Y Pulir, Perfumes Y Preparados De Tocador ",3.0527748703223567,0.0,0.940472679974922,1.6311742751534084
