"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","HS4","HS4 ID"
0.39902619,0.4357523794,0.4360027666,0.4200004722,0.249385882,0.3277585062,0.2711938127,0.2684380366,0.0452583733,-0.0485425851,-0.0318100339,-0.139928254,-0.1960131895,-0.2962911049,-0.2549888616,-0.1488034819,-0.1940046676,-0.272658131,-0.28420101,-0.2537688481,-0.0561589676,-0.0063034636,-0.0956210024,0.0080918242,0.1071887449,0.0729048211,"Milk","0401"
0.1940691208,0.236415911,-0.3183974625,-0.6166407523,-0.6664094012,-0.7107675789,-0.5719050507,-0.8364437382,-0.9753950375,-0.8556970405,-1.0049997845,-1.0370726786,-1.102359054,-1.0319554573,-0.9634529433,-0.9084839364,-0.9241330802,-0.8920637564,-0.7811681281,-0.7114401872,-0.8736281342,-0.8540780502,-0.7916386986,-0.8026782801,-0.6865807201,-0.646478667,"Concentrated Milk","0402"
0.3364584654,0.3714305183,0.3011866289,0.2776671932,0.1824448919,0.1753004977,0.2722098344,0.4107957093,0.155382709,0.1672746757,0.3345901423,0.2068080911,0.0321301505,-0.1251370765,-0.2250004767,-0.1442719265,-0.1326627781,-0.154552326,-0.0730076547,-0.0321521477,-0.0371755822,-0.0800615492,-0.1942509598,-0.1712322228,-0.2724278741,-0.2284728783,"Fermented Milk Products","0403"
0.798664022,0.7571953948,0.7659303891,0.7302020606,0.7392029076,0.6955242776,0.7297391087,0.691991084,0.70987803,0.6986331409,0.6267697509,0.7549601038,0.6522431708,0.5455023451,0.5449233636,0.6173116456,0.5590259286,0.2736115781,0.1545835025,0.0419513987,0.3334143942,0.4456333421,0.5527474171,0.3991911864,0.3988225621,0.5470436186,"Whey and other milk products","0404"
0.4414393857,0.7294944574,0.7044517668,0.4197731877,0.3969415695,0.3778979818,0.4058623459,0.4028794101,0.2058178859,0.0245925754,0.0338030617,0.100790746,-0.2564112178,-0.1435229069,-0.0523501843,0.2591730647,-0.2120277598,-0.3538607961,-0.3097040441,0.0951108236,0.1063820362,0.1809460023,0.0616786031,0.0788997522,0.0007370404,-0.1219397917,"Butter","0405"
0.3423072124,0.3591966231,0.3611721044,0.2454603408,0.2590954183,0.2019355881,0.254493469,0.1195609927,-0.0395082404,-0.0535574066,-0.0382654551,-0.011899263,-0.1633032147,-0.1818836192,-0.1698432804,-0.1871656345,-0.1542488804,-0.1266699248,-0.1329885098,-0.0995960486,-0.1046018673,-0.1202036656,-0.0995988721,-0.1221162827,0.0021857689,-0.0182886391,"Cheese","0406"
-0.8053719952,-0.8339687375,-0.8199541821,-0.9150200436,-0.7985838211,-0.6766513977,-0.6495397539,-0.5129773425,-0.5566644021,-0.4566319867,-0.4321476322,-0.3486195911,-0.417875944,-0.396710449,-0.3011346496,0.0932400625,-0.0625431508,-0.3275981484,-0.5457411647,-0.6599876794,-0.4975112319,-0.231688619,-0.3663247769,-0.3472478945,-0.3314080546,-0.3139011872,"Eggs","0407"
,,,,,,,-0.2204111662,-0.0990062766,0.0872825756,0.122804503,0.3952908732,0.4731594415,0.6905163702,0.7258705447,0.5489202441,0.240707654,0.2244809595,0.2053789143,0.4110515017,0.489661906,0.3258602005,0.2950438141,0.2948385454,-0.1672751967,0.0263451125,"Processed Egg Products","0408"
,,,,-0.9926350758,-0.9429563702,-1.0032259174,-0.9411351455,-0.9978720349,-1.0546106601,-0.9893508243,-1.0686813191,-1.0450749537,-1.2765396143,-1.1483087149,-1.0470287417,-1.0412702242,-1.0583157533,-1.0762311639,-1.0043499353,-1.0726931311,-1.0706251976,-1.2157629352,-1.2272785838,-1.1685218246,-0.9630679795,"Honey","0409"
,,,,,,,,,,,,-0.9922559499,-0.5374756178,-0.463180743,-0.6459967307,-0.3391117823,-0.6224473361,-0.6553203648,-0.5721312522,-0.8796168056,-1.0244089702,0.3307522771,-0.4741830209,-0.8051467542,-0.6989891142,"Other Edible Animal Products","0410"
-0.8757806532,-0.9496131472,-0.8731800786,-0.9349923672,-1.075800309,-1.0194028105,-1.0102803327,-0.7889266595,-0.8943398869,-0.9759861511,-0.9282601801,-0.8573872324,-0.9039165124,-1.0786955339,-0.9596391053,-1.0168228955,-1.0468857355,-0.9468312865,-0.8852217944,-0.7962084448,-0.9320128786,-1.058274851,-1.095937314,-0.956927174,-0.9673568545,-0.9894002048,"Animal Organs","0504"
-1.0274670973,-0.7199518679,-0.6238085159,-0.3517730619,-0.4161299887,-0.6574363747,-0.619813232,-0.5027356814,-0.4162875502,-0.1932792695,-0.1182757301,0.2345388582,0.2378610539,0.4313037091,0.4699406745,0.2161904064,0.3443579282,0.2413962721,0.3493694456,0.5440122141,0.7720034532,0.2110549996,0.2268346179,0.354494119,0.222365111,0.1455748132,"Bird Feathers and Skins","0505"
-0.3128941645,-0.4549621911,-0.5552911064,-0.7925635202,-0.8384537741,-0.7847881796,-0.8082654286,-0.93340216,-1.0695752522,-1.0235676216,-1.1324499286,-1.0689909606,-0.9411133725,-0.8978568146,-0.5974261402,-0.4834832635,-0.5370067972,-0.715016396,-0.7061033447,-0.7166598424,-0.6821131163,-0.7494372486,-0.7297570291,-0.6168015336,-0.7422862592,-0.7096429021,"Other Inedible Animal Products","0511"
0.12439115,-0.080005301,-0.0938991093,0.0033792582,-0.0127468386,0.1978687844,0.1810796495,-0.2061860555,-0.6423697534,-0.5729616684,-0.7978584519,-1.3831560956,-0.9656516205,-0.8852377119,-0.8781151003,-0.9032356418,-1.0400801374,-1.4595351305,-1.2392183834,-0.8832758981,-0.433089727,-0.5708804393,-0.4545084843,-0.3529865252,-0.2173616257,-0.7762506523,"Bulbs and Roots","0601"
-1.1497810781,-0.9925919237,-0.9955707543,-0.7574564794,-0.8521673256,-0.8205678739,-1.1139466985,-1.0806291864,-0.9660393246,-0.7508727441,-0.7160168695,-0.8508644886,-0.8642679485,-0.6883179022,-0.5591215308,-0.6873836461,-0.6432570785,-0.6974035956,-0.6908645572,-0.6346856502,-0.7275658,-0.8229125417,-0.8620479249,-0.8658250745,-0.8328132494,-0.9430150019,"Other live plants, cuttings and slips;
mushroom spawn","0602"
-1.3366410582,-1.3496678251,-1.4166579818,-1.37165088,-1.3533003147,-1.514110782,-1.5568498575,-1.5575904118,-1.550939434,-1.5453311886,-1.5525936943,-1.6965603748,-1.6347882677,-1.974149301,-1.4721525832,-1.3292014174,-1.3947332436,-1.8279090259,-1.4325870589,-1.4936991833,-1.4984398848,-1.504617871,-1.5069190564,-1.5761165338,-1.4871839017,-1.7987395959,"Cut Flowers","0603"
-0.9662330809,-1.0158302613,-0.8736265094,-0.8236371186,-1.040667328,-1.0688075019,-1.2084332804,-1.2314849606,-1.1722493376,-1.0404673019,-1.0896061998,-1.2240116421,-1.0841954537,-1.1173544507,-1.1637362974,-1.1248539944,-1.0799723465,-1.1397540136,-1.206327357,-1.1130693381,-0.9162272221,-0.880073943,-0.7349494629,-0.7502954444,-0.7133622239,-0.6450652825,"Plant foliage","0604"
-0.6910026534,-0.6847181757,-0.7386199395,-0.5138458753,-0.6035965043,-0.6411550412,-0.9006678435,-0.9764288741,-0.9434399571,-0.8369772952,-0.7773777941,-0.7309525477,-0.83436893,-0.9248522413,-0.9654355524,-0.909526101,-0.9426138996,-0.8997702507,-0.8869193458,-0.8501538998,-0.8247984052,-0.7752114774,-0.8955074489,-0.9145644038,-0.9477834253,-0.7948963774,"Potatoes","0701"
-1.0335963784,-0.8899383103,-0.8843408801,-0.8970069262,-0.8482291363,-0.8784586937,-0.9259869962,-1.0121985945,-0.8119569834,-0.7621649516,-0.8510675953,-0.9374320265,-1.0109949172,-1.1697847134,-1.204953583,-1.2907459178,-1.1757546892,-1.1507007886,-1.1975708238,-1.5702699998,-1.7412692309,-1.5646209728,-1.4715940924,-1.337851563,-1.2355049941,-1.1159941746,"Tomatoes","0702"
-1.3132013849,-1.4372508848,-1.6241517715,-1.4241825435,-1.5299741707,-1.5556500439,-1.4960619119,-1.5165856408,-1.5740216358,-1.3842578661,-1.3475402945,-1.5168413582,-1.6071801784,-1.61699539,-1.8070344016,-1.9561169176,-1.9415864728,-1.9328316794,-1.9064729515,-1.9502009871,-1.948243649,-2.0439677579,-2.0789365561,-2.0417375606,-2.0370445246,-1.9185939885,"Onions","0703"
-0.4591273461,-0.8351036013,-0.8824257064,-0.8401375106,-0.9233318176,-0.8131971312,-0.8355967056,-0.9482491299,-0.9910013922,-0.8980546072,-0.6547572366,-0.7730886293,-0.9397341083,-0.846768967,-0.8440273117,-0.7000590256,-0.7674325551,-0.6639429823,-0.7557541808,-1.0229325925,-1.1160012807,-1.22857622,-1.0337409961,-0.8191619762,-0.779886805,-0.6834072529,"Cabbages","0704"
0.0176897136,0.0327093989,0.0332787241,-0.0900383509,-0.1032951034,-0.2079654676,-0.058881244,-0.02822348,-0.0060692262,-0.3345764352,-0.276511302,-0.2596643797,-0.4482173243,-0.4436743495,-0.4524500722,-0.6376449816,-0.5606141888,-0.4419023062,-0.3429356996,-0.7070494166,-0.8848953386,-1.1865037527,-0.7544415511,-0.4958966142,-0.4654009271,-0.4242134074,"Lettuce","0705"
-0.4559965888,-0.3932285869,-0.5338739414,-0.3394520336,-0.425701525,-0.2479795221,-0.370664027,-0.332102035,-0.3054841611,-0.3451284363,-0.1510260288,-0.2403675301,-0.4040107218,-0.7106532139,-0.6564527745,-0.633969565,-0.6345122947,-0.5781587791,-0.5417012577,-0.5953955796,-0.7961155524,-0.8544191329,-0.7542173936,-0.6457905379,-0.6679570856,-0.7121218213,"Root Vegetables","0706"
-0.5172418157,-0.7624527273,-0.7929085075,-1.1631714748,-1.1196363392,-0.9133450467,-0.9519717743,-1.0332107595,-1.1051076562,-1.0471709565,-1.1220474982,-1.1186854529,-0.876824857,-1.0013082204,-1.0408856523,-0.9944889116,-0.9554434193,-0.8272958959,-0.816910165,-0.9139480548,-0.9600402778,-1.0981662597,-1.0678483249,-0.9549463299,-0.7926282284,-0.7218591291,"Cucumbers","0707"
,,-1.5570139539,-1.4650395578,-1.5299404823,-1.7025338067,-1.8871839688,-1.6588132292,-1.8532320416,-1.7250033608,-2.0267562695,-2.0744252269,-1.9191331925,-2.0977864727,-2.0680316903,-1.9944895536,-1.8208001917,-1.6635894338,-1.9075648669,-1.901943397,-1.8670382944,-1.959735739,-1.9658848,-1.8653847034,-1.6600600344,-1.7606750059,"Legumes","0708"
-1.3564634195,-1.3904428029,-1.4038900609,-1.4427798414,-1.4626249497,-1.4337888602,-1.4496336311,-1.4285879131,-1.3786799336,-1.2310635557,-1.2460124533,-1.258963266,-1.277146525,-1.3587669579,-1.2167525235,-1.1582491276,-1.1324436301,-1.1101764918,-1.162886348,-1.2520833341,-1.3632012159,-1.2497635403,-1.1807546906,-1.090356369,-1.0255902814,-0.9799331128,"Other Vegetables","0709"
-0.9519885031,-1.0322988932,-1.0146663887,-0.8972835987,-0.8989722582,-0.8992076603,-0.9187175574,-0.9344333472,-0.9901734828,-0.937566466,-0.9396897816,-1.103921737,-1.0422561654,-0.8820107598,-0.7136636505,-0.800132776,-0.7881945588,-0.7864451431,-0.7006126332,-0.6286829408,-0.5548405708,-0.6666987022,-0.7750266481,-0.7941384803,-0.7718977623,-0.7907524346,"Frozen Vegetables","0710"
,,,,,,,,-1.2960085651,-1.1617456971,-1.0840863616,-1.1534633592,-1.0747699715,-1.1033537045,-1.1244987498,-1.3378563363,-1.24571413,-1.10191702,-1.1875528762,-1.2477995876,-1.1583967523,-1.1744504112,-1.1483832999,-0.9536005105,-0.8065996753,-0.807830683,"Preserved Vegetables","0711"
-1.3063751281,-1.2637520336,-1.0663447567,-1.1282941748,-1.1691540962,-1.1400534929,-1.1118225997,-1.0859041158,-1.0482716173,-0.8773283644,-0.7408740087,-0.8894049314,-0.9859624729,-1.1783474668,-1.2347486582,-1.2283150637,-1.327397666,-1.4375443193,-1.5397190384,-1.3169186106,-1.222880542,-0.9702216352,-0.9599023027,-1.2518800544,-1.2280833475,-1.1386296381,"Dried Vegetables","0712"
-1.0701417299,-1.1679356085,-1.3384566987,-1.5233230258,-1.776213365,-1.6840393977,-1.706857285,-1.7179300019,-1.8562569471,-1.778577174,-1.679410439,-1.8267050528,-1.8560383249,-1.9776716579,-1.9730743158,-2.0820542366,-1.8927695191,-2.0026150933,-2.0147033167,-1.9159098543,-1.9923204381,-2.0544209788,-2.0883109128,-2.1388113586,-2.2214616442,-2.265267421,"Dried Legumes","0713"
-2.5287517772,-2.6772085445,-2.6628423109,-2.4320206781,-2.1768741089,-2.1521575715,-2.0652077667,-2.1222007407,-2.177343521,-2.189434039,-2.3261562414,-2.144155753,-2.1245215716,-2.2019389497,-2.0705059396,-2.3537353612,-2.2966269438,-2.3522604515,-2.3970929756,-2.3923321194,-2.4537862729,-2.2024674145,-2.0368845644,-2.0572937685,-2.3779379899,-2.270937462,"Cassava","0714"
-2.562093532,-2.4873410898,-2.509652227,-2.5141351912,-2.4538553402,-2.5354741618,-2.6346758667,-2.733165523,-2.8897373649,-2.9793592064,-2.816216188,-2.7901464533,-2.7813823608,-2.708350546,-2.6764809392,-2.6862150638,-2.7050269779,-2.5978798363,-2.6023137784,-2.5076175751,-2.5852197596,-2.5395320875,-2.4474356394,-2.6182873146,-2.6307016501,-2.5087914565,"Coconuts, Brazil Nuts, and Cashews","0801"
-1.5291177603,-1.5546326513,-1.5139870882,-1.4842408959,-1.4307334733,-1.4182316108,-1.1697782836,-1.2568997367,-1.2086824626,-1.232398735,-1.4493555728,-1.3779247396,-1.3947893112,-1.672779605,-1.7106249708,-1.7705947627,-1.7382623513,-1.7121189339,-1.8073377103,-1.4904970434,-1.5940090461,-1.6976888249,-1.6434843597,-1.5995631132,-1.5928087182,-1.6405871512,"Other Nuts","0802"
-2.6692150002,-2.5900888936,-2.4981292385,-2.2144946412,-2.1446323878,-2.216659612,-2.1375754042,-2.2461937935,-2.459026237,-2.3775814752,-2.1171485128,-2.0395649812,-2.2176404689,-2.2309416553,-2.1709019066,-2.2582332796,-2.2036587941,-2.0984101321,-1.9389421302,-2.0591017013,-2.0675301243,-2.0787890459,-2.0013453992,-1.9646489393,-1.8741715158,-1.8914645679,"Bananas","0803"
-2.0742152472,-2.1442573643,-1.9710537404,-1.9385608412,-1.8503591982,-1.8139400458,-1.7464978331,-1.7387959512,-1.8206625798,-1.8376083479,-1.8189331776,-1.7455407408,-1.7972851461,-1.6810188137,-1.690284421,-1.7339433648,-1.836824216,-1.8701032991,-1.9381836089,-1.789211123,-1.8414175611,-1.7590915674,-1.7511416318,-1.77878624,-1.7965231871,-1.7736792121,"Tropical Fruits","0804"
-1.1725561337,-1.4784534541,-1.4604526036,-1.4016376443,-1.4407704343,-1.4658847137,-1.2998750414,-1.2347490338,-1.2458355647,-1.1864374105,-1.145984354,-1.1221670443,-1.1952878504,-1.2728831881,-1.2887344685,-1.3239618515,-1.2856946105,-1.3130432927,-1.1497687701,-1.1613752117,-1.335837965,-1.3348346248,-1.1602926845,-1.0237999951,-1.0411242159,-1.0766115155,"Citrus","0805"
-0.731848575,-0.9753533495,-0.9994640012,-1.0891138201,-1.221227195,-1.1437872747,-0.9803224764,-0.9663555769,-1.0899660945,-1.0300052173,-1.0259654121,-1.0175323017,-0.9029727279,-0.9471634804,-0.8914104945,-0.8553552821,-0.8761906448,-0.8684121669,-0.9231312439,-1.0888330241,-1.1326436686,-1.2428841506,-1.2672253511,-1.188024399,-1.1864985388,-1.2454194859,"Grapes","0806"
